id,name,description,icons,image_caption,organization,primary_contact,referral,street_address_1,street_address_2,city,state,zip,county,website,email,phone,latitude,longitude,Assessment and Diagnosis,Treatment and Therapies ,Treatment and Therapies ,Treatment and Therapies ,Physical and Mental Health ,Education and Technology ,Adulthood and Transition,Family Supports and Parent Training,Financial Assistance and Advocacy,National ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),Adulthood (23 - 64),Aging (65+)
110,Center for Autism Related Disorders (CARD) - CARD Academy Alexandria,"CARD Academy is located in Alexandria, VA and is a school that focuses on a child's academics and social skills through the use of an Individual Education Program (IEP). ",,,,,,4875 Eisenhower Ave,#210,Alexandria,VA,22304,,https://www.centerforautism.com/locations/?search=22304,,(571) 290-0143,38.8038973,-77.118044,     Psychological Testing ,    Applied Behavior Analysis,,,,     School,,,,         Northern Virginia,,,,,
111,Center for Autism Related Disorders (CARD) - Fairfax,"Center for Autism and Related Disorders (CARD), located in Fairfax, VA, provides a range of services, including diagnosis, assessment, and ABA (Applied Behavior Analysis), in both center-based and remote clinical settings. In addition, CARD also offers marriage and family counseling as well as CARD academy, a place where children can learn and play in a safe environment.",,,,,,10340 Democracy Ln,#102,Fairfax,VA,22030,,https://www.centerforautism.com/locations/?search=22030,,(571) 386-0871,38.8496656,-77.3013443,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,    Early Intervention,    Mental Health ,,,,,         Northern Virginia,,,,,
112,Center for Autism Related Disorders (CARD) - Manassas,"Center for Autism and Related Disorders (CARD), located in Manassas, VA, provides a range of services, including diagnosis, assessment, and ABA (Applied Behavior Analysis), in both center-based and remote clinical settings. In addition, CARD also offers marriage and family counseling as well as CARD academy, a place where children can learn and play in a safe environment.",,,,,,10370 Battleview Pkwy,,Manassas,VA,20109,,https://www.centerforautism.com/locations/?search=20109,,(571) 364-0440,38.8066181,-77.5161808,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,    Early Intervention,    Mental Health ,,,,,         Northern Virginia,,,,,
113,Center for Autism Related Disorders (CARD) - CARD Academy Sterling,"CARD Academy is located in Sterling, VA and is a school that focuses on a child's academics and social skills through the use of an Individual Education Program (IEP). ",,,,,,45305 Catalina Ct. Building B,Suite 101,Sterling ,VA,20166,,https://www.centerforautism.com/locations/?search=20166,,(571) 441-3177,38.9775097,-77.4335325,     Psychological Testing ,    Applied Behavior Analysis,,,    Mental Health ,     School,,,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
114,Center for Autism Related Disorders (CARD) - Sterling,"Center for Autism and Related Disorders (CARD), located in Sterling, VA, provides a range of services, including diagnosis, assessment, and ABA (Applied Behavior Analysis), in both center-based and remote clinical settings. In addition, CARD also offers marriage and family counseling as well as CARD academy, a place where children can learn and play in a safe environment.",,,,,,46040 Center Oak Plaza,#150,Sterling,VA,20166,,https://www.centerforautism.com/locations/?search=20166,,(571) 441-3177,39.0293577,-77.407349,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,    Early Intervention,    Mental Health ,,,,,         Northern Virginia,,,,,
115,Center for Autism Related Disorders (CARD) - Woodbridge,"Center for Autism and Related Disorders (CARD), located in Woodbridge, VA, provides a range of services, including diagnosis, assessment, and ABA (Applied Behavior Analysis), in both center-based and remote clinical settings. In addition, CARD also offers marriage and family counseling as well as CARD academy, a place where children can learn and play in a safe environment.",,,,,,12731 Marblestone Dr,#101,Woodbridge,VA,22192,,https://www.centerforautism.com/locations/?search=22192,,(571) 589-0201,38.6764624,-77.3506129,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,    Early Intervention,    Mental Health ,,,,,         Northern Virginia,,,,,
116,Child Development Assessment and Therapies,"Child Development Assessment and Therapies is an ABA provider in Fairfax VA, offering behavioral, educational, and developmental diagnostics and therapies. They conduct initial screenings on infants and school-aged children in various locations, including at home, in the clinic, or in a classroom. ",,,Sensational Kidz Therapy,,,"3020 Hamaker Court, Suite 200-B",,Fairfax,VA,22031,Fairfax,https://www.cdatonline.com/,,(571) 439-5040,38.8682605,-77.2371924,,    Applied Behavior Analysis,,    Early Intervention,    Developmental Delays,,,,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
117,Compass Counseling - NOVA,"The Compass in NOVA provides a home-based Applied Behavior Analysis (ABA) therapy program for children and adolescents under age 21 with impairment in adaptive functioning which is not a diagnosis-specific program. Compass also provides comprehensive psychological testing, school-based services, parent support services, and other counseling services. ",,,Autism Learning Center,,,9274 Corporate Circle,,Manassas,VA,20110,Prince William ,https://compassva.com/,,(703) 496-7804,38.75418,-77.494111,Assessment and Diagnosis,    Applied Behavior Analysis,,,    Mental Health ,,,,      Advocacy,         Northern Virginia,,,,,
118,Compass Counseling - Loudoun,The Compass in NOVA provides a home-based Applied Behavior Analysis (ABA) therapy program for children and adolescents under age 21 with impairment in adaptive functioning which is not a diagnosis-specific program.,,,,,,9274 Corporate Circle,,Manassas,VA,20110,,https://compassva.com/location/loudoun/,,(703) 496-7804,38.75418,-77.494111,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Northern Virginia,,,,,
119,Comprehensive Autism Partnership - Alexandria,"Comprehensive Autism Partnership is an ABA provider located in Alexandria, VA for children with autism and special needs. They provide social skills and other assessments, Natural Environment Teaching (NET), and parent/family/caregiver training. School readiness programs are also offered in this location.",,,Compass: Manassas,,,2847 Duke St.,,Alexandria,VA,22314,Fairfax,http://cap-autism.com/,,(703) 870-3880,38.8073223,-77.0797857,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),,,
120,Continuum Autism Spectrum Alliance,"Continuum Autism Spectrum Alliance is an ABA provider in Northern VA which provides therapy, care, and treatment for adults and children with Autism Spectrum Disorder as well as other developmental disabilities. They offer assessments and diagnosis, and programs that focus on teaching communicative, social, and life skills. ",,,"Dower and Associates, Inc.",,,"1651 Old Meadow Road, Suite 600",,McLean,VA,22102,Fairfax County,https://www.autismspectrumalliance.com/,,1-800-828-5659,38.9232418,-77.2097521,Assessment and Diagnosis,    Applied Behavior Analysis,    Social Skills Training,    Speech and Communication,    Challenging Behaviors,          IEP ,,      Parent Training ,,         Northern Virginia,,,,,
121,"Dower and Associates, Inc.","Dower and Associates, Inc. is an ABA provider in Manassas VA focusing on assessing and treating children and adolescents with Autism Spectrum Disorder and other related developmental disabilities. They provide speech and language therapy, academic and remedial tutoring, as well as skill groups and summer groups. ",,,New Horizons,,,9845 Business Way,,Manassas,VA,20110,Prince William County,http://www.dowerandassociates.com/,,(703) 618-6180,38.754292,-77.49394,Assessment and Diagnosis,    Applied Behavior Analysis,    Speech and Communication,,    Challenging Behaviors,          IEP ,,      Respite ,,         Northern Virginia,,,,,
122,Leap Ahead,"Leap Ahead is an ABA provider in Manassas VA, with a emphasized focus on Verbal Behavior (VB) and socialization for ages 18 months to 16 years. They provide therapy and consultations for children diagnosed with Autism Spectrum Disorder and other related disorders in the home, office, or classroom.Their services include IEP development and advocacy, parent support, toilet training and speech and occupational therapies. ",,,Achieve Beyond,,,"10686 Crestwood Drive, Suites A&B",,Manassas,VA,20109,Prince William County,https://www.leapahead.org/,,(703) 392-6166,38.779949,-77.513354,,    Applied Behavior Analysis,    Speech and Communication,    Occupational Therapy ,,          IEP ,,,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
123,New Horizons,"New Horizons is an ABA provider in Winchester, Virginia, and the broader northern Virginia area, for individuals up to 21 years old with developmental disabilities, including Autism Spectrum Disorder and Intellectual Disorders. They focus on improving Verbal Behavior and other social and communicative skills, as well as provide parent and family training. ",,,Family Insight,,,500 West Jubal Early Drive Suite 210,,Winchester,VA,22601,Frederick,http://www.newhorizonsaba.com/,info@newhorizonsaba,(540) 431-5641,39.170707,-78.1821896,,    Applied Behavior Analysis,    Speech and Communication,    Early Intervention,    Developmental Delays,,,,,         Northern Virginia,,,,,
124,Positive Change ABA LLC,"Positive Change ABA LLC is an ABA provider in Northern VA for individual with Autism Spectrum Disorders. They offer home-based and center-based care, parent consultation and training, and functional behavior assessments on a case-by-case basis. ",,,CA Human Services,,,2401 Raymond Pl,,Haymarket,VA,20169,Prince William County,http://www.positivechangeaba.com/,,(571) 271-8382,38.9069329,-77.6604355,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,          IEP ,,      Parent Training ,,         Northern Virginia,,,,,
125,Sensational Kidz Therapy - Woodbridge,"The sensational kids therapies provide multiple therapies including occupational, physical, feeding and speech & language therapy services. They also provide Applied Behavior Analysis (ABA) therapy program through their sister company Global Behavior Therapy Associates (www.abatherapy.me) in clinical and home settings. The center also has facilities to provide various assistive technology evaluations and training.",,,Sensational Kidz Therapy,,,1936a Opitz Blvd,,Woodbridge,VA,22191,CIty of Fredericksburg ,https://kidztherapy.org/,,(540) 841-4443,38.6352357,-77.2734477,,    Applied Behavior Analysis,    Occupational Therapy ,    Speech and Communication,    Developmental Delays,,,,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
126,T-Ten Services,"T-Ten Services is an ABA provider in Northern VA for children from infancy to teens with social behavioral and learning delays.They offer home-based and school-based programs which use assessments and therapies to teach new adaptive skills, as well as provide parental support. ",,,Continuum Autism Spectrum Alliance,,,,In-home Therapy,Warrenton,VA,20186,,http://www.ttenservices.com/,,(703) 574-0350,38.7134516,-77.7952712,,    Applied Behavior Analysis,    Social Skills Training,    Early Intervention,,          IEP ,,,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
127,Victoria Transcultural Clinical Center,"Victoria Transcultural Clinical Center is an ABA provider in Fairfax VA for children and families from all backgrounds and children who have been or are at risk for abuse and neglect. They focus on psychiatric needs including pervasive developmental disorders, depression, ADHD, and conduct disorders and offer in-home services, crisis treatment, and family counseling.  ","https://www.google.com/imgres?imgurl=https://media.glassdoor.com/sqll/342598/center-for-autism-and-related-disorders-squarelogo-1455923501752.png&imgrefurl=https://www.glassdoor.com/Benefits/Center-for-Autism-and-Related-Disorders-US-Benefits-EI_IE342598.0,39_IL.40,42_IN1.htm&h=199&w=200&tbnid=MuA_vtWrHkHHtM:&q=center+for+autism+and+related+disorders&tbnh=150&tbnw=151&usg=AI4_-kRWXc2U2t9Gs85QLAiinBgIPnlDTg&vet=12ahUKEwjTr9jMpvDfAhVNtlkKHUw9DFYQ_B0wEXoECAQQEA..i&docid=B1Z68XfV6LXjxM&itg=1&sa=X&ved=2ahUKEwjTr9jMpvDfAhVNtlkKHUw9DFYQ_B0wEXoECAQQEA",CARD Logo,Center for Autism and Related Disorders,,,"3541 Chain Bridge Rd, Suite 204",,Fairfax,VA,22030,Fairfax County,https://vtccnet.com/,,(703) 218-6599,38.860888,-77.3053835,,    Applied Behavior Analysis,    Social Skills Training,    Counseling,    Mental Health ,,,,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
128,Behavioral Health and Wellness,"Behavior Health & Wellness Center has multiple locations in Virginia (Richmond, Virginia Beach, Newport News and Fredericksburg) and specializes in Applied Behavior Analysis and Behavior Therapy for families needing support and therapeutic services. This is facilitated through developmental programs, behavior support, communication, and activities of daily living support through the modality of Applied Behavior Analysis (ABA).",,,Behavioral Health and Wellness,,,2217 Princess Anne Street Suite 101-2,,Fredericksburg,VA,22401,,http://www.bhwc-va.com/,info@bhwc-va.com,(877) 707-5220,38.3145558,-77.4687183,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Fredericksburg and Northern Neck         ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
129,Rivermont School Fredericksburg Region,"Rivermont School Fredericksburg Region provides a therapeutic educational program for students, ages 5-22, with special needs, including autism, who have difficulty learning and managing behaviors. ",,,Centra,,,30 Pulte Drive,,Fredericksburg,VA,22406,,https://www.centrahealth.com/facilities/rivermont-school-fredericksburg-region,,(540) 373-0726,38.3379428,-77.5156756,,    Applied Behavior Analysis,    Speech and Communication,    Counseling,    Mental Health ,     School,      Post Secondary Education ,,,         Fredericksburg and Northern Neck         ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
130,Compass Counseling - Fredericksburg,"The Compass in Fredericksburg provides a home-based Applied Behavior Analysis (ABA) therapy program for children and adolescents under age 21 with impairment in adaptive functioning which is not a diagnosis-specific program. Compass also provides comprehensive psychological testing, school-based services, parent support services, and other counseling services. ",,,Compass,,,10715 Spotsylvania Avenue ,,Fredericksburg,VA,22408,CIty of Fredericksburg ,https://compassva.com/location/fredericksburg/,,(540) 339-3640,38.2475466,-77.4926474,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,    Early Intervention,    Mental Health ,,,,,         Fredericksburg and Northern Neck         ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
131,"Comprehensive Autism Partnership - Stafford, Richmond, Fredericksburg","Comprehensive Autism Partnership is an ABA provider located in Fredericksburg, VA for children with autism and special needs. They provide social skills and other assessments, Natural Environment Teaching (NET), and parent/family/caregiver training. ",,,,,,1411 Princess Anne St.,,Fredericksburg,VA,22401,,http://cap-autism.com/,,(540) 922-1110,38.3075923,-77.4630825,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Fredericksburg and Northern Neck         ,,,,,
132,CPB Behavior Therapy and Advocacy Services,"CPB Behavior Therapy and Advocacy Services is a Behavioral Analysis Clinic (Behavioral Analyst) in Stafford, Virginia. They provide in-home ABA (Applied Behavioral Analysis) for children with autism and other developmental delays. They also consult with homeschooling families on curriculum if needed and can conduct portfolio reviews. Parent training/consultation and school advocacy services are also available.",,,,,,45 Lindsey Ln,,Stafford,VA,22556,,https://www.facebook.com/CPB-Behavior-Therapy-and-Advocacy-Services-287493962125890/,cpbbehavior@gmail.com,(540) 840-9285,38.5011034,-77.5372883,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,     Support Plans,,,            Parent-Advocacy ,         Fredericksburg and Northern Neck         ,,,,,
133,New Hope ABA,"New Hope ABA is a Christian organization providing Applied Behavior Analysis (ABA) and Educational consultation services. New Hope ABA provides 1:1 ABA therapy for all ages and diagnoses in the child's home, school, or daycare setting as well as clinic-based service in Fredericksburg office.",,,New Hope ,,,1329 Alum Spring Rd,,Fredericksburg,VA,22401,CIty of Fredericksburg ,http://www.newhopebehavioranalysis.com/home.html,info@newhopebehavioranalysis.com,(540) 693-0830,38.2905507,-77.4776811,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,          IEP ,,      Parent Training ,            Parent-Advocacy ,         Fredericksburg and Northern Neck         ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
135,Reaching Potentials,"Reaching Potentials is a private non-profit organization serving children with autism and their families. Reaching potentials provides a wide variety of center-based services including day programs, afterschool training, early intervention programs, and other home and school based Applied Behavior analysis (ABA) services. ",*This needs to be broken down into individual resources,,Reaching Potentials ,,,"1602 William Street, Upper Floor",,Fredericksburg,VA,22402-1004,CIty of Fredericksburg,http://www.reachingpotentials.org/contactus.htm,,(540) 368-8087,38.2951766,-77.4829688,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,     School,,,,         Fredericksburg and Northern Neck         ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
136,Sensational Kidz Therapy - Fredericksburg,"The sensational kids therapies provide multiple therapies including occupational, physical, feeding and speech & language therapy services. They also provide Applied Behavior Analysis (ABA) therapy program through their sister company Global Behavior Therapy Associates (www.abatherapy.me) in clinical and home settings.  The center also has facilities to provide various assistive technology evaluations and training.",,,Sensational Kidz Therapy,,,"4528 Plank Road, Suite 2 ",,Fredericksburg,VA,22407,CIty of Fredericksburg ,https://kidztherapy.org/,,(540) 841-4443,38.2861467,-77.5384304,,    Applied Behavior Analysis,    Occupational Therapy ,    Speech and Communication,    Developmental Delays,,,,,         Fredericksburg and Northern Neck         ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
137,Behavior Innovations,"Behavior Innovations provides both in-home and center-based ABA therapy. In addition, they provide training and support for parents of children with ASD.",,,,,,"​4528 Plank Road, Suite A2",,Fredericksburg,VA,22407,,http://www.abatherapy.me/,info@abatherapy.me,(540) 755-2937,38.2861467,-77.5384304,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Northern Virginia,,,,,
138,Compass Counseling - Harrisonburg,"The Compass in Harrisonburg provides a home-based Applied Behavior Analysis (ABA) therapy program for children and adolescents under age 21 with impairment in adaptive functioning which is not a diagnosis-specific program. Compass also provides comprehensive psychological testing, school-based services, parent support services, and other counseling services. ",,,Paragon Autism Services,,,298 S. Liberty Street,,Harrisonburg,VA,22801,Rockingham,https://compassva.com/,,(540) 437-1605,38.445023,-78.8715929,     Psychological Testing ,    Applied Behavior Analysis,    Early Intervention,    Counseling,    Developmental Delays,,,,,         Harrisonburg ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
141,Virginia Autism Spectrum Services (VASS),"Virginia Autism Spectrum Services (VASS) is an ABA provider located in Harrisonburg, VA for individuals with Autism Spectrum Disorder. They offer evaluations and service plan developments, as well as therapeutic consultations in the home and school for both the patient and the families based on principles of Applied Behavior Analysis (ABA). ",,,Compass Counseling,,,304 Neff Ave,,Harrisonburg,VA,22801,Rockingham,https://www.vassllc.org/,,(540) 208-7822,38.4264603,-78.8505584,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Harrisonburg ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
142,Health Connect America - Harrisonburg,"Health Connect America is a mental health and ABA services provider with several locations in Virginia. Health Connect America has trained therapists to help with past and/or current traumas families or individuals may be facing. Once therapy sessions have come to an end, therapists have taught clients how to properly cope and have connected patients with community services. Also, they provide Keys academy schools in various locations.",,,,,,39 Southgate Ct.,#102,Harrisonburg,VA,22801,,https://healthconnectamerica.com/services/psychiatric-clinical-services/,,(540) 440-7027,38.4123665,-78.8988164,,    Applied Behavior Analysis,    Medication,    Counseling,    Mental Health ,     School,,,,         Harrisonburg ,,,,,
143,ABC Behavior - Newport News,"ABC Behavior in Newport News, VA provides ABA (Applied Behavior Analysis) for individuals with developmental disabilities from age 18 months to 18 years old after using personal interviews, functional behavior assessments, VB MAPP, PEAK or ABLLS to set up a behavior treatment plan. The behavior treatment plan may include behavior management, communication skills, transitioning skills, social and life skills, or assistance with fine/gross motor skills.",,,,,,,In-home Therapy,Newport News,VA,23601,,http://www.abcbehavior.org/jessica-calixto,jessica.calixto@abcbehavior.org,(585) 939-6556,37.0362625,-76.4736602,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
144,Autism Consulting and Therapy - Virginia Beach,"Autism Consulting and Therapy is an ABA provider located in Virginia Beach, VA for children with Autism Spectrum Disorders and other developmental disabilities. They offer consultations with parents and schools, assessments, ABA therapy, as well as parent/caregiver training. Social Skills Programs are also provided including an Early Intensive Behavioral Preschool for children ages 2-5 years old.",,,,,,4490 Holland Office Park Suite #101,,Virginia Beach,VA,23452,,http://hr-act.com/,info@hr-act.com,(757) 639-2218,36.8274109,-76.1318738,,    Applied Behavior Analysis,    Social Skills Training,,,     School,,      Parent Training ,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),Adulthood (23 - 64),
145,Behavioral Health and Wellness Center - Virginia Beach,"Behavioral Health and Wellness Center in Virginia, VA is an ABA provider for individuals with mental health issues. They provide ABA therapy to teach verbal behavior, hygiene routines, coping skills, independent living skills, and safety. They offer support to families and assist in crisis management.",,,,,,287 Independence Blvd. Suite 320,,Virginia Beach,VA,23462,,http://www.bhwc-va.com/,info@bhwc-va.com,(757) 648-8252,36.84501,-76.1383824,,    Applied Behavior Analysis,    Counseling,,    Mental Health ,,,,,         Hampton Roads ,Pre-K (0 - 5 years),,,,
146,BreakThru Autism Services,"BreakThru Autism Services is an ABA provider in Prince William County, Stafford County, Fairfax County, Loudon County and the Richmond area for individuals ages 2-21. They provide parent training, tutoring, camps, support groups, and social skill groups for individuals with autism spectrum disorders, intellectual disabilities, and emotional disabilities.",,,,,,9720 Capital Court Condo 300,,Manassas,VA,20181,,http://www.breakthruautismservices.com,tchamblin@breakthruautismservice.com,(571) 232-3691,38.7388456,-77.5211408,,    Applied Behavior Analysis,    Social Skills Training,,,,,Family Supports and Parent Training,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
147,Blossom Behavioral Services,"Blossom Behavioral Services is an ABA provider in Hampton Roads, VA for children with Autism Spectrum Disorders. They provide in-home ABA therapy and assessments, parent/caregiver training services, and consultations for clients and their families.",,,,,,8 San Jose Drive Suite 3B,,Newport News,VA,23601,,https://blossombehavioral.com/blossom-about/,katie.fitterer@blossombehavioral.com/emily.wilson@blossombehavioral.com,(757) 524-2510,37.0809114,-76.4615844,,    Applied Behavior Analysis,    Early Intervention,,,,,      Parent Training ,,         Hampton Roads ,,,,,
148,Butterfly Effects,"Butterfly Effects is an ABA provider in the Newport News/Hampton, VA areas for children under 21 years old with Autism Spectrum Disorders. They provide assessments, behavior treatment plans, parent support, and ABA therapy offered in various settings including the home and classroom.",,,,,,780 Lynnhaven Parkway Suite 400,,Virginia Beach,VA,23452,,https://butterflyeffects.com/services/aba/,,(888) 880-9270,36.8154152,-76.065933,,    Applied Behavior Analysis,    Early Intervention,,,     In School Supports,,,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
149,Center for Autism Related Disorders (CARD) - Chesapeake,"Center for Autism and Related Disorders (CARD), located in Chesapeake, VA, provides a range of services, including diagnosis, assessment, and ABA (Applied Behavior Analysis), in both center-based and remote clinical settings. In addition, CARD also offers marriage and family counseling as well as CARD academy, a place where children can learn and play in a safe environment.",,,,,,648 Independence Pkwy,#300,Chesapeake,VA,23320,,https://www.centerforautism.com/locations/?search=23320,,(757) 776-0790,36.7666077,-76.2614239,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,    Early Intervention,    Mental Health ,,,,,         Hampton Roads ,,,,,
150,Center for Autism Related Disorders (CARD) - Newport News,"Center for Autism and Related Disorders (CARD), located in Newport News, VA, provides a range of services, including diagnosis, assessment, and ABA (Applied Behavior Analysis), in both center-based and remote clinical settings. In addition, CARD also offers marriage and family counseling as well as CARD academy, a place where children can learn and play in a safe environment.",,,,,,600 Thimble Shoals Blvd,#110,Newport News,VA,23606,,https://www.centerforautism.com/locations/?search=23606,,(757) 690-9390,37.0830657,-76.4793186,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,    Early Intervention,    Mental Health ,,,,,         Hampton Roads ,,,,,
151,Center for Autism Related Disorders (CARD) - Virginia Beach,"Center for Autism and Related Disorders (CARD), located in Virginia Beach, VA, provides a range of services, including diagnosis, assessment, and ABA (Applied Behavior Analysis), in both center-based and remote clinical settings. In addition, CARD also offers marriage and family counseling as well as CARD academy, a place where children can learn and play in a safe environment.",,,,,,629 Phoenix Dr,#150,Virginia Beach,VA,23452,,https://www.centerforautism.com/locations/?search=23452,,(757) 837-0761,36.8263409,-76.0690148,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,    Early Intervention,    Mental Health ,,,,,         Hampton Roads ,,,,,
152,Rivermont School Tidewater ,"Rivermont School in Tidewater provides a therapeutic educational program for students, ages 5-22, with special needs, including autism, who have difficulty learning and managing behaviors including Rivermont Autism Program, which is an ABA provider in Virginia Beach, VA for individuals in grades K-12 with Autism Spectrum Disorders and other special needs. They offer programs focusing on academics, behavior management, communication, and social skills as well as offer family support.",,,,"Fiesta Martin, Principal",,5163 Cleveland Street,,Virginia Beach ,VA,23462,,https://www.centrahealth.com/facilities/rivermont-school-tidewater,fiesta.martin@centrahealth.com,(757) 497-6312,36.8419337,-76.1604856,,    Applied Behavior Analysis,    Counseling,    Social Skills Training,    Challenging Behaviors,     School,,,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
153,Child First Behavior Therapy,"Child First Behavior Therapy is an ABA provider located in Virginia Beach and Chesapeake, VA for children with Autism Spectrum Disorders. They offer in-home ABA therapy to improve Verbal Behavior, social skills, and self-management.",,,,,,780 Lynnhaven Parkway Ste 400,,Virginia Beach ,VA,23452,,https://www.childfirstbehaviortherapy.com/,,(224) 206-5001,36.8154152,-76.065933,,    Applied Behavior Analysis,    Early Intervention,    Video Modeling,    Developmental Delays,,,,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
154,Children First ABA Clinic,"Children First ABA Clinic is an ABA provider located in Chesapeake, VA for children with Autism Spectrum Disorders and other developmental disabilities. They offer ABA assessments and treatments, social skills training, as well as parent training and support.",,,,,,1525 Technology Drive,,Chesapeake,VA,23320,,https://www.childrenfirstabaclinic.com/index.html,childrenfirstaba@gmail.com,(757) 609-2795,36.7718941,-76.2580955,,    Applied Behavior Analysis,    Social Skills Training,,,,,      Parent Training ,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
155,Civitas Health Services - Chesapeake,"Civitas Health Services provides ABA (Applied Behavior Analysis) therapy, outpatient, and mental health skill building services. This location offers ABA Therapy in Chesapeake, VA.",,,,,,3105 American Legion Rd b,,Chesapeake,VA,23321,,http://www.civitashealth.com/,info@civitashealth.com,(757) 216-9541,36.8649935,-76.4045622,,    Applied Behavior Analysis,    Counseling,,    Mental Health ,,,,,         Hampton Roads ,,,,,
156,Civitas Health Services - Virginia Beach,"Civitas Health Services provides ABA (Applied Behavior Analysis) therapy, outpatient, and mental health skill building services. This location offers ABA Therapy in Virginia Beach, VA.",,,,,,5606 Virginia Beach Boulevard Suite 103,,Virginia Beach ,VA,23462,,http://www.civitashealth.com/,info@civitashealth.com,(757) 807-0813,36.8538117,-76.1759468,,    Applied Behavior Analysis,    Counseling,,    Mental Health ,,,,,         Hampton Roads ,,,,,
157,Coastal Behavior Consulting,"Coastal Behavior Consulting is an ABA provider located in Virginia Beach, VA for children with Autism Spectrum Disorders and other related disabilities. They offer assessments, consultations, parent training, and therapy both at the center and at home.",,,,,,380 Cleveland Place Suite B,,Virginia Beach ,VA,23462,,https://coastalbehaviorconsulting.com/,info@coastalbehaviorconsulting.com,(757) 416-5290,36.8447982,-76.1623878,,    Applied Behavior Analysis,,,,,,      Parent Training ,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
158,Compass Counseling - Virginia Beach,"The Compass in Virginia Beach, VA offers ABA (Applied Behavior Analysis), outpatient therapy, and psychological testing. The program focuses to improve adaptive behaviors, train and support families, and coordinate with other service providers.",,,,,,7460 Central Business,,Norfolk,VA,23513,,https://compassva.com/location/hampton-roads/,,(757) 644-6391,36.9117129,-76.2480685,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,,,,,      Support Groups,,         Hampton Roads ,,,,,
159,Comprehensive Autism Partnership - Virginia Beach,"Comprehensive Autism Partnership is an ABA provider located in Virginia Beach, VA for children with autism and special needs. They provide social skills and other assessments, Natural Environment Teaching (NET), and parent/family/caregiver training. ",,,,,,,In-home Therapy,Virginia Beach ,VA,23462,,http://cap-autism.com,,(757) 655-7274,36.8400852,-76.1493891,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,      Parent Training ,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
